iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
14    |4.999876339   |4.999881339   |1.529209086e-08    |1.408047893e-08    |4.998533566   |5.001224112   |0.002690546265     |1.996290177   
15    |5.000547725   |5.000552725   |3.000030835e-07    |3.055053372e-07    |4.999876339   |5.001224112   |0.001347773132     |1.992607777   
16    |5.000212032   |5.000217032   |4.495760686e-08    |4.710292776e-08    |4.999876339   |5.000552725   |0.0006763865662    |1.985324043   
17    |5.000044185   |5.000049185   |1.952353788e-09    |2.419208265e-09    |4.999876339   |5.000217032   |0.0003406932831    |1.971072623   
18    |4.999960262   |4.999965262   |1.579098557e-09    |1.206719826e-09    |4.999876339   |5.000049185   |0.0001728466415    |1.94377178    
19    |5.000002224   |5.000007224   |4.945229992e-12    |5.218310307e-11    |4.999960262   |5.000049185   |8.892332077e-05    |1.89353017    
20    |4.999981243   |4.999986243   |3.518266578e-10    |1.892562289e-10    |4.999960262   |5.000007224   |4.696166039e-05    |1.807550415   
21    |4.999991733   |4.999996733   |6.833713499e-11    |1.067085711e-11    |4.999981243   |5.000007224   |2.598083019e-05    |1.677219754   
22    |4.999996979   |5.000001979   |9.128980268e-12    |3.914777865e-12    |4.999991733   |5.000007224   |1.54904151e-05     |1.511966939   
23    |4.999999601   |5.000004601   |1.590545736e-13    |2.117088991e-11    |4.999996979   |5.000007224   |1.024520755e-05    |1.344056159   
call to function: 46


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |8.99999975    |9.00000025    |15.999998          |16.000002          |-2            |20            |22                 |1.999999955   
2     |3.499999875   |3.500000375   |2.250000375        |2.249998875        |-2            |9.00000025    |11.00000025        |1.999999909   
3     |6.249999812   |6.250000313   |1.562499531        |1.562500781        |3.499999875   |9.00000025    |5.500000375        |1.999999818   
4     |4.874999844   |4.875000344   |0.01562503906      |0.01562491406      |3.499999875   |6.250000313   |2.750000438        |1.999999636   
5     |5.562499828   |5.562500328   |0.3164060566       |0.3164066191       |4.874999844   |6.250000313   |1.375000469        |1.999999273   
6     |5.218749836   |5.218750336   |0.04785149072      |0.04785170947      |4.874999844   |5.562500328   |0.6875004844       |1.999998545   
7     |5.04687484    |5.04687534    |0.00219725061      |0.002197297485     |4.874999844   |5.218750336   |0.3437504922       |1.999997091   
8     |4.960937342   |4.960937842   |0.001525891266     |0.001525852203     |4.874999844   |5.04687534    |0.1718754961       |1.999994182   
9     |5.003906091   |5.003906591   |1.52575455e-05     |1.526145184e-05    |4.960937342   |5.04687534    |0.08593799805      |1.999988364   
10    |4.982421716   |4.982422216   |0.0003089960575    |0.0003089784795    |4.960937342   |5.003906591   |0.04296924902      |1.999976728   
11    |4.993163904   |4.993164404   |4.673221448e-05    |4.672537863e-05    |4.982421716   |5.003906591   |0.02148487451      |1.999953457   
12    |4.998534997   |4.998535497   |2.146233226e-06    |2.144768474e-06    |4.993163904   |5.003906591   |0.01074268726      |1.999906918   
13    |5.001220544   |5.001221044   |1.489727671e-06    |1.490948465e-06    |4.998534997   |5.003906591   |0.005371593628     |1.999813853   
14    |4.999877771   |4.999878271   |1.494002638e-08    |1.481804698e-08    |4.998534997   |5.001221044   |0.002686046814     |1.999627775   
15    |5.000549157   |5.000549657   |3.015737433e-07    |3.021231506e-07    |4.999877771   |5.001221044   |0.001343273407     |1.999255827   
16    |5.000213464   |5.000213964   |4.556685842e-08    |4.578057238e-08    |4.999877771   |5.000549657   |0.0006718867035    |1.998512761   
17    |5.000045617   |5.000046117   |2.0809358e-09      |2.126803076e-09    |4.999877771   |5.000213964   |0.0003361933517    |1.997029938   
18    |4.999961694   |4.999962194   |1.467354439e-09    |1.429298377e-09    |4.999877771   |5.000046117   |0.0001683466759    |1.994077467   
19    |5.000003656   |5.000004156   |1.33634572e-11     |1.726906348e-11    |4.999961694   |5.000046117   |8.442333794e-05    |1.988224674   
20    |4.999982675   |4.999983175   |3.001635327e-10    |2.830883044e-10    |4.999961694   |5.000004156   |4.246166897e-05    |1.976723437   
21    |4.999993165   |4.999993665   |4.671464103e-11    |4.012983005e-11    |4.999982675   |5.000004156   |2.148083448e-05    |1.954505822   
22    |4.99999841    |4.99999891    |2.526835635e-12    |1.187233282e-12    |4.999993165   |5.000004156   |1.099041724e-05    |1.912970958   
23    |5.000001033   |5.000001533   |1.067093048e-12    |2.350095009e-12    |4.99999841    |5.000004156   |5.745208622e-06    |1.839877246   
24    |4.999999722   |5.000000222   |7.745099922e-14    |4.915080322e-14    |4.99999841    |5.000001533   |3.122604311e-06    |1.723955498   
25    |5.000000377   |5.000000877   |1.423936882e-13    |7.697445712e-13    |4.999999722   |5.000001533   |1.811302156e-06    |1.567343456   
26    |5.00000005    |5.00000055    |2.452759593e-15    |3.019781031e-13    |4.999999722   |5.000000877   |1.155651079e-06    |1.396008003   
call to function: 52


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |8.999999975   |9.000000025   |15.9999998         |16.0000002         |-2            |20            |22                 |1.999999995   
2     |3.499999988   |3.500000037   |2.250000037        |2.249999888        |-2            |9.000000025   |11.00000003        |1.999999991   
3     |6.249999981   |6.250000031   |1.562499953        |1.562500078        |3.499999988   |9.000000025   |5.500000037        |1.999999982   
4     |4.874999984   |4.875000034   |0.01562500391      |0.01562499141      |3.499999988   |6.250000031   |2.750000044        |1.999999964   
5     |5.562499983   |5.562500033   |0.3164062307       |0.3164062869       |4.874999984   |6.250000031   |1.375000047        |1.999999927   
6     |5.218749984   |5.218750034   |0.04785155532      |0.0478515772       |4.874999984   |5.562500033   |0.6875000484       |1.999999855   
7     |5.046874984   |5.046875034   |0.002197264124     |0.002197268811     |4.874999984   |5.218750034   |0.3437500492       |1.999999709   
8     |4.960937484   |4.960937534   |0.001525880142     |0.001525876236     |4.874999984   |5.046875034   |0.1718750496       |1.999999418   
9     |5.003906234   |5.003906284   |1.52586647e-05     |1.525905533e-05    |4.960937484   |5.046875034   |0.0859375498       |1.999998836   
10    |4.982421859   |4.982421909   |0.0003089910364    |0.0003089892786    |4.960937484   |5.003906284   |0.0429687999       |1.999997673   
11    |4.993164047   |4.993164097   |4.67302588e-05     |4.672957521e-05    |4.982421859   |5.003906284   |0.02148442495      |1.999995345   
12    |4.99853514    |4.99853519    |2.145813811e-06    |2.145667328e-06    |4.993164047   |5.003906284   |0.01074223748      |1.999990691   
13    |5.001220687   |5.001220737   |1.490077272e-06    |1.490199344e-06    |4.99853514    |5.003906284   |0.005371143738     |1.999981382   
14    |4.999877914   |4.999877964   |1.490504543e-08    |1.489283931e-08    |4.99853514    |5.001220737   |0.002685596869     |1.999962765   
15    |5.0005493     |5.00054935    |3.017310348e-07    |3.017859674e-07    |4.999877914   |5.001220737   |0.001342823434     |1.999925533   
16    |5.000213607   |5.000213657   |4.56280091e-08     |4.564937232e-08    |4.999877914   |5.00054935    |0.0006714367172    |1.999851077   
17    |5.00004576    |5.00004581    |2.094019516e-09    |2.098598061e-09    |4.999877914   |5.000213657   |0.0003357433586    |1.999702198   
18    |4.999961837   |4.999961887   |1.456405537e-09    |1.452591748e-09    |4.999877914   |5.00004581    |0.0001678966793    |1.999404573   
19    |5.000003799   |5.000003849   |1.443079153e-11    |1.481317035e-11    |4.999961837   |5.00004581    |8.397333965e-05    |1.998809854   
20    |4.999982818   |4.999982868   |2.952227304e-10    |2.935070257e-10    |4.999961837   |5.000003849   |4.201166983e-05    |1.997622539   
21    |4.999993308   |4.999993358   |4.477790256e-11    |4.411123963e-11    |4.999982818   |5.000003849   |2.103083491e-05    |1.995256355   
22    |4.999998554   |4.999998604   |2.092132442e-12    |1.949990384e-12    |4.999993308   |5.000003849   |1.054041746e-05    |1.990557502   
23    |5.000001176   |5.000001226   |1.383408336e-12    |1.503526717e-12    |4.999998554   |5.000003849   |5.295208728e-06    |1.981291656   
24    |4.999999865   |4.999999915   |1.825697674e-14    |7.245138597e-15    |4.999998554   |5.000001226   |2.672604364e-06    |1.963270461   
25    |5.000000521   |5.000000571   |2.709543025e-13    |3.255075742e-13    |4.999999865   |5.000001226   |1.361302183e-06    |1.929143453   
26    |5.000000193   |5.000000243   |3.71360514e-14     |5.890676817e-14    |4.999999865   |5.000000571   |7.056510913e-07    |1.867663791   
27    |5.000000029   |5.000000079   |8.29117048e-16     |6.208556405e-15    |4.999999865   |5.000000243   |3.77825546e-07     |1.766259861   
28    |4.999999947   |4.999999997   |2.826197597e-15    |9.998201843e-18    |4.999999865   |5.000000079   |2.139127737e-07    |1.621086924   
29    |4.999999988   |5.000000038   |1.484449979e-16    |1.430064979e-15    |4.999999947   |5.000000079   |1.319563872e-07    |1.450417749   
call to function: 58


