iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |6.403252248   |6.403252248   |1.96911687         |1.96911687         |-2            |11.59674775   |13.59674775        |1.618033989   
2     |3.193495505   |6.403252248   |3.26345849         |1.96911687         |-2            |6.403252248   |8.403252248        |1.618033989   
3     |6.403252248   |8.38699101    |1.96911687         |11.4717081         |3.193495505   |6.403252248   |3.209756743        |2.618033989   
4     |5.177234267   |6.403252248   |0.03141198557      |1.96911687         |3.193495505   |8.38699101    |5.193495505        |0.6180339887  
5     |4.419513485   |5.177234267   |0.3369645941       |0.03141198557      |3.193495505   |6.403252248   |3.209756743        |1.618033989   
6     |5.177234267   |5.645531465   |0.03141198557      |0.4167108723       |4.419513485   |6.403252248   |1.983738762        |1.618033989   
7     |4.887810683   |5.177234267   |0.01258644295      |0.03141198557      |4.419513485   |5.645531465   |1.22601798         |1.618033989   
8     |4.70893707    |4.887810683   |0.08471762926      |0.01258644295      |4.419513485   |5.177234267   |0.7577207825       |1.618033989   
9     |4.887810683   |4.998360655   |0.01258644295      |2.687452503e-06    |4.70893707    |5.177234267   |0.4682971975       |1.618033989   
10    |4.998360655   |5.066684295   |2.687452503e-06    |0.004446795225     |4.887810683   |5.177234267   |0.2894235849       |1.618033989   
11    |4.956134323   |4.998360655   |0.001924197628     |2.687452503e-06    |4.887810683   |5.066684295   |0.1788736126       |1.618033989   
12    |4.998360655   |5.024457963   |2.687452503e-06    |0.0005981919656    |4.956134323   |5.066684295   |0.1105499723       |1.618033989   
13    |4.982231631   |4.998360655   |0.0003157149271    |2.687452503e-06    |4.956134323   |5.024457963   |0.06832364034      |1.618033989   
14    |4.998360655   |5.00832894    |2.687452503e-06    |6.937123578e-05    |4.982231631   |5.024457963   |0.04222633196      |1.618033989   
15    |4.992199916   |4.998360655   |6.084130921e-05    |2.687452503e-06    |4.982231631   |5.00832894    |0.02609730838      |1.618033988   
16    |4.998360655   |5.002168201   |2.687452503e-06    |4.701095042e-06    |4.992199916   |5.00832894    |0.01612902358      |1.61803399    
17    |4.996007462   |4.998360655   |1.59403589e-05     |2.687452503e-06    |4.992199916   |5.002168201   |0.0099682848       |1.618033985   
18    |4.998360655   |4.999815008   |2.687452503e-06    |3.422199592e-08    |4.996007462   |5.002168201   |0.006160738779     |1.618033999   
19    |4.999815008   |5.000713848   |3.422199592e-08    |5.095784145e-07    |4.998360655   |5.002168201   |0.003807546021     |1.618033963   
20    |4.999259494   |4.999815008   |5.483486189e-07    |3.422199592e-08    |4.998360655   |5.000713848   |0.002353192757     |1.618034056   
21    |4.999815008   |5.000158334   |3.422199592e-08    |2.506960579e-08    |4.999259494   |5.000713848   |0.001454353264     |1.618033813   
22    |5.000158334   |5.000370522   |2.506960579e-08    |1.372864706e-07    |4.999815008   |5.000713848   |0.0008988394937    |1.618034448   
23    |5.000027196   |5.000158334   |7.396314421e-10    |2.506960579e-08    |4.999815008   |5.000370522   |0.0005555137701    |1.618032787   
24    |4.999946146   |5.000027196   |2.900275267e-09    |7.396314421e-10    |4.999815008   |5.000158334   |0.0003433257235    |1.618037135   
25    |5.000027196   |5.000077283   |7.396314421e-10    |5.972735213e-09    |4.999946146   |5.000158334   |0.0002121880466    |1.618025751   
26    |4.999996233   |5.000027196   |1.41895104e-11     |7.396314421e-10    |4.999946146   |5.000077283   |0.0001311376769    |1.618055556   
27    |4.999977109   |4.999996233   |5.240043454e-10    |1.41895104e-11     |4.999946146   |5.000027196   |8.105036974e-05    |1.617977528   
28    |4.999996233   |5.000008072   |1.41895104e-11     |6.515591508e-11    |4.999977109   |5.000027196   |5.008730714e-05    |1.618181818   
29    |4.999988948   |4.999996233   |1.221538469e-10    |1.41895104e-11     |4.999977109   |5.000008072   |3.09630626e-05     |1.617647059   
30    |4.999996233   |5.000000786   |1.41895104e-11     |6.185742366e-13    |4.999988948   |5.000008072   |1.912424455e-05    |1.619047619   
31    |5.000000786   |5.000003519   |6.185742366e-13    |1.238005223e-11    |4.999996233   |5.000008072   |1.183881805e-05    |1.615384615   
32    |4.999998965   |5.000000786   |1.070938776e-12    |6.185742366e-13    |4.999996233   |5.000003519   |7.285426493e-06    |1.625         
33    |5.000000786   |5.000001697   |6.185742366e-13    |2.880396929e-12    |4.999998965   |5.000003519   |4.553391558e-06    |1.6           
34    |4.999999876   |5.000000786   |1.542151849e-14    |6.185742366e-13    |4.999998965   |5.000001697   |2.732034935e-06    |1.666666666   
35    |4.999999876   |4.999999876   |1.542151849e-14    |1.542151849e-14    |4.999998965   |5.000000786   |1.821356624e-06    |1.5           
36    |4.999999876   |4.999999876   |1.542151849e-14    |1.542151849e-14    |4.999998965   |4.999999876   |9.106783114e-07    |2.000000001   
call to function: 38


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |6.403252248   |6.403252248   |1.96911687         |1.96911687         |-2            |11.59674775   |13.59674775        |1.618033989   
2     |3.193495505   |6.403252248   |3.26345849         |1.96911687         |-2            |6.403252248   |8.403252248        |1.618033989   
3     |6.403252248   |8.38699101    |1.96911687         |11.4717081         |3.193495505   |6.403252248   |3.209756743        |2.618033989   
4     |5.177234267   |6.403252248   |0.03141198557      |1.96911687         |3.193495505   |8.38699101    |5.193495505        |0.6180339887  
5     |4.419513485   |5.177234267   |0.3369645941       |0.03141198557      |3.193495505   |6.403252248   |3.209756743        |1.618033989   
6     |5.177234267   |5.645531465   |0.03141198557      |0.4167108723       |4.419513485   |6.403252248   |1.983738762        |1.618033989   
7     |4.887810683   |5.177234267   |0.01258644295      |0.03141198557      |4.419513485   |5.645531465   |1.22601798         |1.618033989   
8     |4.70893707    |4.887810683   |0.08471762926      |0.01258644295      |4.419513485   |5.177234267   |0.7577207825       |1.618033989   
9     |4.887810683   |4.998360655   |0.01258644295      |2.687452499e-06    |4.70893707    |5.177234267   |0.4682971975       |1.618033989   
10    |4.998360655   |5.066684295   |2.687452499e-06    |0.004446795225     |4.887810683   |5.177234267   |0.2894235849       |1.618033989   
11    |4.956134323   |4.998360655   |0.001924197628     |2.687452499e-06    |4.887810683   |5.066684295   |0.1788736126       |1.618033989   
12    |4.998360655   |5.024457963   |2.687452499e-06    |0.0005981919653    |4.956134323   |5.066684295   |0.1105499723       |1.618033989   
13    |4.982231631   |4.998360655   |0.0003157149274    |2.687452499e-06    |4.956134323   |5.024457963   |0.06832364033      |1.618033989   
14    |4.998360655   |5.00832894    |2.687452499e-06    |6.937123552e-05    |4.982231631   |5.024457963   |0.04222633196      |1.618033989   
15    |4.992199916   |4.998360655   |6.084130962e-05    |2.687452499e-06    |4.982231631   |5.00832894    |0.02609730837      |1.618033989   
16    |4.998360655   |5.002168201   |2.687452499e-06    |4.701094856e-06    |4.992199916   |5.00832894    |0.01612902359      |1.618033989   
17    |4.996007462   |4.998360655   |1.594035946e-05    |2.687452499e-06    |4.992199916   |5.002168201   |0.009968284783     |1.618033989   
18    |4.998360655   |4.999815008   |2.687452499e-06    |3.422203807e-08    |4.996007462   |5.002168201   |0.006160738806     |1.618033989   
19    |4.999815008   |5.000713848   |3.422203807e-08    |5.095785175e-07    |4.998360655   |5.002168201   |0.003807545977     |1.618033989   
20    |4.999259495   |4.999815008   |5.483483418e-07    |3.422203807e-08    |4.998360655   |5.000713848   |0.002353192829     |1.618033988   
21    |4.999815008   |5.000158334   |3.422203807e-08    |2.506972394e-08    |4.999259495   |5.000713848   |0.001454353149     |1.61803399    
22    |5.000158334   |5.000370521   |2.506972394e-08    |1.372861631e-07    |4.999815008   |5.000713848   |0.0008988396797    |1.618033985   
23    |5.000027195   |5.000158334   |7.395823822e-10    |2.506972394e-08    |4.999815008   |5.000370521   |0.0005555134691    |1.618033999   
24    |4.999946147   |5.000027195   |2.900150199e-09    |7.395823822e-10    |4.999815008   |5.000158334   |0.0003433262106    |1.618033963   
25    |5.000027195   |5.000077286   |7.395823822e-10    |5.973111788e-09    |4.999946147   |5.000158334   |0.0002121872586    |1.618034056   
